vehicle_id,Hired Status
SHB1001K,Hired
SHB1002H,Hired
SHB1009P,Hired
SHB1012D,Hired
SHB1013B,Hired
SHB1018M,Hired
SHB1019K,Hired
SHB101L,Hired
SHB1020E,Hired
SHB1026P,Hired
SHB1027L,Hired
SHB1028J,Hired
SHB1029G,Hired
SHB1030B,Hired
SHB1031Z,Hired
SHB1033T,Hired
SHB1037H,Hired
SHB1045J,Hired
SHB1046G,Hired
SHB1048B,Hired
SHB1050T,Hired
SHB1051R,Hired
SHB1054H,Hired
SHB1058Y,Hired
SHB1061L,Hired
SHB1063G,Hired
SHB1067X,Hired
SHB1072E,Hired
SHB1075Y,Hired
SHB1076U,Hired
SHB1077S,Hired
SHB1079L,Hired
SHB1082B,Hired
SHB1087M,Hired
SHB1092Y,Hired
SHB1097J,Hired
SHB1100H,Hired
SHB1109J,Hired
SHB1114T,Hired
SHB1120A,Hired
SHB1121Y,Hired
SHB1123S,Hired
SHB112E,Hired
SHB1134K,Hired
SHB1141P,Hired
SHB1146B,Hired
SHB1159P,Hired
SHB1164Z,Hired
SHB1171C,Hired
SHB1175S,Hired
SHB1177L,Hired
SHB1179G,Hired
SHB1180B,Hired
SHB1184R,Hired
SHB1187H,Hired
SHB118P,Hired
SHB1190Y,Hired
SHB1196G,Hired
SHB1209D,Hired
SHB1225G,Hired
SHB1228Z,Hired
SHB122B,Hired
SHB1233H,Hired
SHB1235C,Hired
SHB1246X,Hired
SHB1265R,Hired
SHB1267K,Hired
SHB1269E,Hired
SHB1272U,Hired
SHB1273S,Hired
SHB1277G,Hired
SHB1278D,Hired
SHB1279B,Hired
SHB1285H,Hired
SHB1296B,Hired
SHB12K,Hired
SHB1307D,Hired
SHB130C,Hired
SHB1311R,Hired
SHB1312M,Hired
SHB1313K,Hired
SHB1317A,Hired
SHB131A,Hired
SHB1325B,Hired
SHB1327X,Hired
SHB1329R,Hired
SHB132Y,Hired
SHB1331H,Hired
SHB1334A,Hired
SHB135P,Hired
SHB137J,Hired
SHB1384E,Hired
SHB1399M,Hired
SHB140Z,Hired
SHB1424Z,Hired
SHB1432A,Hired
SHB144M,Hired
SHB1465E,Hired
SHB147E,Hired
SHB148C,Hired
SHB149A,Hired
SHB152P,Hired
SHB154J,Hired
SHB1555D,Hired
SHB156D,Hired
SHB157B,Hired
SHB158Z,Hired
SHB1595M,Hired
SHB159X,Hired
SHB1614S,Hired
SHB161M,Hired
SHB162K,Hired
SHB1644E,Hired
SHB164E,Hired
SHB1661E,Hired
SHB1669J,Hired
SHB1679E,Hired
SHB1686J,Hired
SHB1688D,Hired
SHB1699Y,Hired
SHB1702X,Hired
SHB170L,Hired
SHB1719Z,Hired
SHB1722M,Hired
SHB1728Y,Hired
SHB1765P,Hired
SHB1768G,Hired
SHB176X,Hired
SHB1772T,Hired
SHB1783L,Hired
